№      A      B      Выигрыш A (x1,x2,x3)      Проигрыш B (y1,y2,y3)     v_up     v_low   
205    x1     y2     2048, 2032, 1826          2069, 1924, 1986          9.9902   9.3854  
206    x1     y2     2058, 2050, 1830          2078, 1934, 1999          9.9903   9.3883  
207    x1     y2     2068, 2068, 1834          2087, 1944, 2012          9.9903   9.3913  
208    x1     y2     2078, 2086, 1838          2096, 1954, 2025          10.0288  9.3942  
209    x2     y2     2088, 2104, 1842          2097, 1972, 2036          10.0670  9.4354  
210    x2     y2     2098, 2122, 1846          2098, 1990, 2047          10.1048  9.4762  
211    x2     y2     2108, 2140, 1850          2099, 2008, 2058          10.1422  9.5166  
212    x2     y2     2118, 2158, 1854          2100, 2026, 2069          10.1792  9.5566  
213    x2     y2     2128, 2176, 1858          2101, 2044, 2080          10.2160  9.5962  
214    x2     y2     2138, 2194, 1862          2102, 2062, 2091          10.2523  9.6355  
215    x2     y2     2148, 2212, 1866          2103, 2080, 2102          10.2884  9.6744  
216    x2     y2     2158, 2230, 1870          2104, 2098, 2113          10.3241  9.7130  
217    x2     y2     2168, 2248, 1874          2105, 2116, 2124          10.3594  9.7005  
218    x2     y1     2177, 2249, 1891          2106, 2134, 2135          10.3165  9.6606  
219    x2     y1     2186, 2250, 1908          2107, 2152, 2146          10.2740  9.6210  
220    x2     y1     2195, 2251, 1925          2108, 2170, 2157          10.2318  9.5818  
221    x2     y1     2204, 2252, 1942          2109, 2188, 2168          10.1900  9.5430  
222    x2     y1     2213, 2253, 1959          2110, 2206, 2179          10.1486  9.5045  
223    x2     y1     2222, 2254, 1976          2111, 2224, 2190          10.1076  9.4664  
224    x2     y1     2231, 2255, 1993          2112, 2242, 2201          10.0670  9.4286  
225    x2     y1     2240, 2256, 2010          2113, 2260, 2212          10.0267  9.3911  
226    x2     y1     2249, 2257, 2027          2114, 2278, 2223          9.9867   9.3540  
227    x2     y1     2258, 2258, 2044          2115, 2296, 2234          9.9471   9.3172  
228    x1     y1     2267, 2259, 2061          2124, 2306, 2247          9.9430   9.3158  
